,type,drugbank_id,name,state,cal_logp,cal_logs,cal_water_solubility,cal_molecular_weight,cal_polar_surface_area,cal_refractivity,cal_polarizability,cal_rotatable_bond_count,cal_h_bond_acceptor_count,cal_h_bond_donor_count,cal_pka_acidic,cal_pka_basic,cal_physiological_charge,cal_number_of_rings,cal_bioavailability,cal_rule_of_five,exp_molecular_weight,exp_logp,exp_pka,half_life
10,biotech,DB00011,Interferon alfa-n1,liquid,,,,,,,,,,,,,,,,,19241.1,,,"1.2 hours (mammalian reticulocytes, in vitro); &gt;20 hours (yeast, in vivo); &gt;10 hours (Escherichia coli, in vivo)."
11,biotech,DB00012,Darbepoetin alfa,liquid,,,,,,,,,,,,,,,,,18396.1,,,
12,biotech,DB00013,Urokinase,liquid,,,,,,,,,,,,,,,,,31126.5,,,Urokinase has a half life of 12.6±6.2 minutes.[L12138]
13,small molecule,DB00014,Goserelin,solid,0.3,-4.6,2.83e-02 g/l,1269.4105,495.89,325.84,131.22,33,18,17,9.27,10.82,2,6,0,0,,-2,,4-5 hours
14,biotech,DB00015,Reteplase,liquid,,,,,,,,,,,,,,,,,39589.6,,,
15,biotech,DB00016,Erythropoietin,liquid,,,,,,,,,,,,,,,,,18396.1,,,"**Healthy volunteers:** The half life is approximately 4 hours in healthy volunteers receiving an intravenous injection [F85]. A half-life of approximately 6 hours has been reported in children [F85].

**Adult and paediatric patients with CRF:** The elimination half life following intravenous administration ranges from 4 to 13 hours, which is about 20% longer in CRF patients than that in healthy subjects. The half life is reported to be similar between adult patients receiving or not receiving dialysis [FDA Label]. 

**Cancer patients receiving cyclic chemotherapy:** Following subcutaneous administration, the average half life is 40 hours with range of 16 to 67 hours [FDA Label]. "
16,biotech,DB00017,Salmon calcitonin,liquid,,,,,,,,,,,,,,,,,3431.853,,,Half-life elimination (terminal): I.M. 58 minutes; SubQ 59 to 64 minutes; Nasal: ~18 to 23 minutes 
17,biotech,DB00018,Interferon alfa-n3,liquid,,,,,,,,,,,,,,,,,,,,
18,biotech,DB00019,Pegfilgrastim,liquid,,,,,,,,,,,,,,,,,39000.0,,,"The serum half-life of Pegfilgrastim is highly variable depending on the absolute neutrophil count, with the range of 15 to 80 hours following subcutaneous administration. The median serum half-life of 42 hours.[A187607,L9746]"
19,biotech,DB00020,Sargramostim,liquid,,,,,,,,,,,,,,,,,14434.5,,,
20,biotech,DB00022,Peginterferon alfa-2b,liquid,,,,,,,,,,,,,,,,,31000.0,,,"The mean half-life of elimination of Peginterferon alfa-2b is 40 hours in a range of 22-60 hours [FDA Label].
"
21,biotech,DB00023,Asparaginase Escherichia coli,liquid,,,,,,,,,,,,,,,,,,,,Plasma half life of L-asparagine derived from _E. coli_ following intravenous injection was 8-30 hrs [FDA Label]. Plasma half-life was 34 to 49 hours after intramuscular injection [FDA Label]. Half-life (mean ± SD) of native _E. coli_ asparaginase is approximately 1.28 ± 0.35 days [A31999].
22,biotech,DB00024,Thyrotropin alfa,liquid,,,,,,,,,,,,,,,,,22672.9,,,25 ± 10 hours
23,biotech,DB00025,"Antihemophilic factor, human recombinant",solid,,,,,,,,,,,,,,,,,264725.5,,,8.4-19.3 hrs
24,biotech,DB00026,Anakinra,liquid,,,,,,,,,,,,,,,,,17257.6,,,"Healthy subjects = 4 - 6 hours;
NOMID patients = 5.7 hours (range of 3.1 - 28.2 hours). "
25,small molecule,DB00027,Gramicidin D,liquid,4.38,-5.7,3.90e-03 g/l,1811.253,519.89,492.33,194.73,50,16,20,11.56,,0,8,0,0,,,,
26,biotech,DB00028,Human immunoglobulin G,liquid,,,,,,,,,,,,,,,,,142682.3,,,">20 hours (mammalian reticulocytes, in vitro)."
27,biotech,DB00029,Anistreplase,liquid,,,,,,,,,,,,,,,,,59042.3,,,
28,biotech,DB00030,Insulin human,liquid,,,,,,,,,,,,,,,,,5808.0,,,Systemic insulin disposition (apparent terminal half-life) following oral inhalation of 4 to 48 units of human insulin was 120-206 minutes.
29,biotech,DB00031,Tenecteplase,liquid,,,,,,,,,,,,,,,,,58951.2,,,"1.9 hours (mammalian reticulocytes, in vitro)
>20 hours (yeast, in vivo)
>10 hours (Escherichia coli, in vivo)"
30,biotech,DB00032,Menotropins,liquid,,,,,,,,,,,,,,,,,23390.3,,,
31,biotech,DB00033,Interferon gamma-1b,liquid,,,,,,,,,,,,,,,,,17145.6,,,
32,biotech,DB00034,Interferon alfa-2a,liquid,,,,,,,,,,,,,,,,,19241.1,,,The IM half-life of interferon alfa-2a is 6 hours to 8 hours; the half-life for IV infusion is 3.7 hours to 8.5 hours (mean 5.1 hours).
33,small molecule,DB00035,Desmopressin,solid,-1,-4,1.10e-01 g/l,1069.22,435.41,279.78,104.78,19,15,14,9.5,11.77,1,4,0,0,,,,"Following an intranasal dose of 1.66 mcg of desmopressin, the median apparent terminal half-life was 2.8 hours [FDA Label]. Terminal half-life significantly increased from 3 hours in normal healthy patients to 9 hours in patients with severe renal impairment [FDA Label]. The oral terminal half life of desmopressin ranges from 2 to 3.11 hours [L1184]."
34,biotech,DB00036,Coagulation factor VIIa Recombinant Human,liquid,,,,,,,,,,,,,,,,,45079.1,,,
35,biotech,DB00038,Oprelvekin,liquid,,,,,,,,,,,,,,,,,19047.2,,,6.9 +/- 1.7 hrs
36,biotech,DB00039,Palifermin,liquid,,,,,,,,,,,,,,,,,16192.7,,,Elimination half-life: 4.5 hours (range: 3.3-5.7 hours)
37,biotech,DB00040,Glucagon,liquid,,,,,,,,,,,,,,,,,3767.1,,,The half life of glucagon is 26 minutes for an intramuscular dose.[L7634] The half life of glucagon nasal powder is approximately 35 minutes.[L7643] The half life of glucagon by a subcutaneous auto-injector or pre-filled syringe is 32 minutes.[L8519]
38,biotech,DB00041,Aldesleukin,liquid,,,,,,,,,,,,,,,,,15314.8,,,13 min-85 min
39,biotech,DB00042,Botulinum toxin type B,liquid,,,,,,,,,,,,,,,,,150804.0,,,
40,biotech,DB00043,Omalizumab,solid,,,,,,,,,,,,,,,,,149000.0,,,"In chronic idiopathic urticaria (CIU) patients, at steady state, based on population pharmacokinetics, omalizumab serum elimination half-life averaged 24 days [FDA label].

In asthmatic patients omalizumab serum elimination half-life averaged 26 days [FDA label]."
41,biotech,DB00044,Lutropin alfa,liquid,,,,,,,,,,,,,,,,,30000.0,,,Biphasic; terminal half-life is approximately 18 hours.
42,biotech,DB00045,Lyme disease vaccine (recombinant OspA),liquid,,,,,,,,,,,,,,,,,27743.1,,,"1.2 hours (mammalian reticulocytes, in vitro)."
43,biotech,DB00046,Insulin lispro,liquid,,,,,,,,,,,,,,,,,5808.0,,,"After subcutaneous administration of insulin lispro, the t1/2 is shorter than that of regular human insulin (1 versus 1.5 hours, respectively). "
44,biotech,DB00047,Insulin glargine,liquid,,,,,,,,,,,,,,,,,6063.0,,,
45,biotech,DB00048,Collagenase clostridium histolyticum,solid,,,,,,,,,,,,,,,,,112023.2,,,
46,biotech,DB00049,Rasburicase,liquid,,,,,,,,,,,,,,,,,34109.5,,,18 hours
47,small molecule,DB00050,Cetrorelix,solid,1.33,-5.3,6.94e-03 g/l,1431.038,495.67,384.16,148.93,38,18,17,9.5,11.79,1,6,0,0,,,,~62.8 hours
48,biotech,DB00051,Adalimumab,liquid,,,,,,,,,,,,,,,,,144190.3,,,"The mean terminal half-life was approximately 2 weeks, ranging from 10 to 20 days across studies [F2118]."
49,biotech,DB00052,Somatotropin,liquid,,,,,,,,,,,,,,,,,22129.0,,,"When somatotropin was administered subcutaneously at the dose of 0.024 mg/kg or 3 IU/m<sup>2</sup>, the mean apparent terminal half-life was  Following intravenous infusion of 33 ng/kg/min of somatotropin in patients with growth hormone deficiency, the terminal elimination half-life was approximately 21.1 (±5.1) minutes.[L10971]"
50,biotech,DB00053,Imiglucerase,liquid,,,,,,,,,,,,,,,,,55597.4,,,3.6-10.4 min
51,biotech,DB00054,Abciximab,liquid,,,,,,,,,,,,,,,,,145651.1,,,"Following intravenous bolus administration, free plasma concentrations of Abciximab decrease rapidly with an initial half-life of less than 10 minutes and a second phase half-life of about 30 minutes, probably related to rapid binding to the platelet GPIIb/IIIa receptors."
52,biotech,DB00055,Drotrecogin alfa,liquid,,,,,,,,,,,,,,,,,55000.0,,,"5.5 hours (mammalian reticulocytes, in vitro)."
53,biotech,DB00056,Gemtuzumab ozogamicin,liquid,,,,,,,,,,,,,,,,,151500.0,,,"In pediatric patients receiving a dose level of 9mg/m^2, the half life was approximately 64±44 h after the first dose [A20377]. "
54,biotech,DB00057,Indium In-111 satumomab pendetide,liquid,,,,,,,,,,,,,,,,,141478.9,,,"0.8 hours (mammalian reticulocytes, in vitro)"
55,biotech,DB00058,Alpha-1-proteinase inhibitor,liquid,,,,,,,,,,,,,,,,,44324.5,,,
56,biotech,DB00059,Pegaspargase,liquid,,,,,,,,,,,,,,,,,31731.9,,,IM: ~6 days; half-life decreased to ~3 days (range: 1.4 to 5 days) in patients with previous hypersensitivity to native L-asparaginase; IV: Adults (asparaginase naive): 7 days
57,biotech,DB00060,Interferon beta-1a,liquid,,,,,,,,,,,,,,,,,20027.0,,,10 hrs
58,biotech,DB00061,Pegademase,liquid,,,,,,,,,,,,,,,,,40788.2,,,plasma adenosine deaminase elimination half-life is 3 to >6 days
59,biotech,DB00062,Albumin human,solid,,,,,,,,,,,,,,,,,66472.2,,,
60,biotech,DB00063,Eptifibatide,liquid,,,,,,,,,,,,,,,,,831.962,,,Approximately 2.5 hours
61,biotech,DB00065,Infliximab,liquid,,,,,,,,,,,,,,,,,144190.3,,,"The median terminal half-life of infliximab is 7.7 to 9.5 days. The data is based on a pharmacokinetic study in patients with Crohn's disease, plaque psoriasis and rheumatoid arthritis receiving a single dose of infliximab [FDA Label]. "
62,biotech,DB00066,Follitropin,liquid,,,,,,,,,,,,,,,,,22672.9,,,"Circulation half life of 3-4 hours, elimination half life of 35-40 hours"
63,small molecule,DB00067,Vasopressin,solid,-1.4,-3.9,1.24e-01 g/l,2140.46,463.93,272.59,108.29,38,16,14,7.65,11.5,2,8,0,0,,,,"Vasopressin administered at 0.01-0.1 U/min has an apparent t<sub>1/2</sub> of ≤10 minutes,[L31413] although half-lives of up to 44 minutes have been reported in the literature."
64,biotech,DB00068,Interferon beta-1b,liquid,,,,,,,,,,,,,,,,,20011.0,,,
65,biotech,DB00069,Interferon alfacon-1,liquid,,,,,,,,,,,,,,,,,19343.0,,,"The terminal half-life following subcutaneous dosing was 1.3 hours in golden Syrian hamsters and 3.4 hours in rhesus monkeys.

"
66,biotech,DB00070,Hyaluronidase (ovine),liquid,,,,,,,,,,,,,,,,,53870.9,,,
67,biotech,DB00071,Insulin pork,liquid,,,,,,,,,,,,,,,,,5795.6,,,
68,biotech,DB00072,Trastuzumab,solid,,,,,,,,,,,,,,,,,145531.5,,,"The terminal half-life is approximately 28 days,[A40276] but may decrease with lower doses - at the 10mg and 500mg doses, half-lives averaged approximately 1.7 and 12 days, respectively.[L6214]"
69,biotech,DB00073,Rituximab,liquid,,,,,,,,,,,,,,,,,143859.7,,,"**Non-Hodgkin's Lymphoma**: Based on a population pharmacokinetic analysis of data from 298 Non-Hodgkin's Lymphoma (NHL) patients who received rituximab once weekly or once every three weeks, the estimated median terminal elimination half-life was 22 days (range, 6.1 to 52 days) [FDA label].

**Rheumatoid Arthritis**: Mean terminal elimination half-life was 18.0 days in patients with rheumatoid arthritis [FDA label] Based on a population pharmacokinetic analysis of data from 2005 RA patients who received rituximab [FDA label].

**Chronic Lymphocytic Leukemia (CLL)**: Pharmacokinetics were studied in 21 patients with CLL receiving rituximab according to the recommended dose and schedule. The estimated median terminal half-life of rituximab was 32 days (range, 14-62 days) [FDA label].

**Granulomatosis with Polyangitis and Microscopic Polyangitis**: Based on the population pharmacokinetic analysis of data in 97 GPA and MPA patients who received 375 mg/m2 rituximab once weekly by intravenous infusion for four weeks, the estimated median terminal elimination half-life was 23 days (range, 9 to 49 days) [FDA label]."
70,biotech,DB00074,Basiliximab,liquid,,,,,,,,,,,,,,,,,143801.3,,,7.2 +/- 3.2 days (adults)
71,biotech,DB00075,Muromonab,liquid,,,,,,,,,,,,,,,,,146189.7,,,"0.8 hours (mammalian reticulocytes, in vitro)"
72,biotech,DB00076,Digoxin Immune Fab (Ovine),liquid,,,,,,,,,,,,,,,,,47301.7,,,15-20 hrs
73,biotech,DB00078,Ibritumomab tiuxetan,liquid,,,,,,,,,,,,,,,,,143375.5,,,"0.8 hours (mammalian reticulocytes, in vitro)"
74,small molecule,DB00080,Daptomycin,solid,-0.47,-5,1.73e-02 g/l,1620.693,702.02,393.57,158.96,35,27,22,2.98,9.59,-3,4,0,0,,,,"Daptomycin has a relatively long half-life, with ranges of 7.5-9 hours depending on dosing schemes and dose strength.[A231449, L32534] The half-life lengthens in patients with increasing renal impairment, being 27.83 ± 14.85 hours in patients with creatinine clearance <30 mL/min, 30.51 ± 6.51 hours in hemodialysis patients, and 27.56 ± 4.53 hours in continuous ambulatory peritoneal dialysis (CAPD) patients. Daptomycin half-life also tends to decrease with decreasing age.[L32534]"
75,biotech,DB00081,Tositumomab,liquid,,,,,,,,,,,,,,,,,143859.7,,,"0.8 hours (mammalian reticulocytes, in vitro)"
76,biotech,DB00082,Pegvisomant,liquid,,,,,,,,,,,,,,,,,22129.0,,,~6 days
77,biotech,DB00083,Botulinum toxin type A,solid,,,,,,,,,,,,,,,,,900000.0,,,There is no readily available data about the pharmacokinetics of botulinum toxin in humans.[L32494] The elimination half-life for non-metabolized botulinum toxin in blood and serum ranged from 230 to 260 min in a pharmacokinetic study of rats and mice.[A231854]
78,biotech,DB00085,Pancrelipase,solid,,,,,,,,,,,,,,,,,131000.0,,,"Pancrelipase acts locally in the GI tract and it is not absorbed in any significant amount thus, the elimination half-life is not relevant.[L2521]"
79,biotech,DB00086,Streptokinase,liquid,,,,,,,,,,,,,,,,,47286.7,,,
80,biotech,DB00087,Alemtuzumab,liquid,,,,,,,,,,,,,,,,,145453.8,,,~288 hrs
81,biotech,DB00088,Alglucerase,liquid,,,,,,,,,,,,,,,,,55597.4,,,3.6-10.4 min
82,biotech,DB00089,Capromab pendetide,liquid,,,,,,,,,,,,,,,,,,,,
83,biotech,DB00090,Laronidase,liquid,,,,,,,,,,,,,,,,,69899.4,,,1.5-3.6 hrs
84,small molecule,DB00091,Cyclosporine,solid,3.64,,,1202.635,278.8,327.14,133.6,15,12,5,11.83,-2.4,0,1,0,0,,1.4 ,13.32±0.70,"The half-life of cyclosporine is biphasic and very variable on different conditions but it is reported in general to last 19 hours.[A174088] Prescribing information also states a terminal half-life of approximately 19 hours, but with a range between 10 to 27 hours.[L3002]"
85,biotech,DB00092,Alefacept,liquid,,,,,,,,,,,,,,,,,51801.1,,,~270 hours
86,small molecule,DB00093,Felypressin,solid,-1.1,-4.4,4.53e-02 g/l,1040.219,405.32,264.79,103.93,19,13,12,11.39,10.18,2,4,0,0,,,,
87,biotech,DB00094,Urofollitropin,liquid,,,,,,,,,,,,,,,,,980.162,,,"Circulation half life of 3-4 hours, elimination half life of 35-40 hours"
88,biotech,DB00095,Efalizumab,liquid,,,,,,,,,,,,,,,,,,,,5 days
89,biotech,DB00097,Choriogonadotropin alfa,solid,,,,,,,,,,,,,,,,,25719.7,,,The mean terminal half-life is about 29 ± 6 hours (initial half-life is 4.5 ± 0.5 hours).
90,biotech,DB00098,Antithymocyte immunoglobulin (rabbit),liquid,,,,,,,,,,,,,,,,,,,,"2-3 days, may increase after multiple doses administration"
91,biotech,DB00099,Filgrastim,liquid,,,,,,,,,,,,,,,,,18800.0,,, Elimination half-life was approximately 3.5 hours in both normal subjects and cancer subjects [FDA label]
92,biotech,DB00100,Coagulation Factor IX (Recombinant),liquid,,,,,,,,,,,,,,,,,46548.2,,,18.8 ± 5.4 hours
93,biotech,DB00102,Becaplermin,liquid,,,,,,,,,,,,,,,,,12294.4,,,
94,biotech,DB00103,Agalsidase beta,liquid,,,,,,,,,,,,,,,,,45351.6,,,agalsidase beta has a half like of 67 ± 12 min for a 1 mg/kg dose with a mean infusion length of 115 minutes.[L16383]
95,small molecule,DB00104,Octreotide,solid,0.42,-4.9,1.22e-02 g/l,1019.25,332.22,269.77,107.65,17,12,13,11.4,10.17,2,5,0,0,,-0.49,12.60,"After a subcutaneous dose, the plasma half-life is estimated to be 0.2 hours. The average elimination half-lives for subcutaneous and oral administration ranged from 2.3 - 2.7 hours and did not differ significantly.[L14528] One pharmacokinetic study revealed a plasma half-life ranging from 72-113 minutes.[A214721]"
96,biotech,DB00105,Interferon alfa-2b,liquid,,,,,,,,,,,,,,,,,19271.0,,,The elimination half-life following both intramuscular and subcutaneous injections was approximately 2 to 3 hours. The elimination half-life was approximately 2 hours following intravenous injection.
97,small molecule,DB00106,Abarelix,solid,2.84,-5.6,3.71e-03 g/l,1416.09,424.98,373.91,149.31,38,16,13,9.47,10.66,1,6,0,0,,,,13.2 &plusmn; 3.2 days
98,biotech,DB00107,Oxytocin,liquid,,,,,,,,,,,,,,,,,1007.187,,,The plasma half-life of oxytocin ranges from 1-6 minutes. The half-life is decreased in late pregnancy and during lactation.[L31433]
99,biotech,DB00108,Natalizumab,liquid,,,,,,,,,,,,,,,,,,,,11 ± 4 days
100,biotech,DB00109,Enfuvirtide,solid,,,,,,,,,,,,,,,,,4491.876,,,3.8 +/- 0.6 hrs
101,biotech,DB00110,Palivizumab,liquid,,,,,,,,,,,,,,,,,,,,18-20 days (in adults)
102,biotech,DB00111,Daclizumab,liquid,,,,,,,,,,,,,,,,,142612.1,,,11-38 days
103,biotech,DB00112,Bevacizumab,liquid,,,,,,,,,,,,,,,,,149000.0,,,"The half-life of bevacizumab is estimated to be 20 days (range of 11-50 days).[L12648,A192921]"
104,biotech,DB00113,Technetium Tc-99m arcitumomab,liquid,,,,,,,,,,,,,,,,,144482.5,,,Approximately 1 hour
105,small molecule,DB00114,Pyridoxal phosphate,solid,-0.55,-1.6,5.70e+00 g/l,247.1419,116.95,54.75,20.9,4,6,3,1.68,4.11,-2,1,1,1,,-1.2,,
106,small molecule,DB00115,Cyanocobalamin,solid,2.66,-4.8,2.02e-02 g/l,1355.3652,477.85,337.48,138.79,27,18,9,1.82,8.68,3,8,0,0,,1.897,"1.84, 8.77",Approximately 6 days (400 days in the liver) [F3739].
107,small molecule,DB00116,Tetrahydrofolic acid,solid,-0.96,-3.2,2.69e-01 g/l,445.4292,207.27,121.39,42.95,9,12,8,3.51,3.58,-2,3,0,0,,-2.7,,
108,small molecule,DB00117,Histidine,solid,-2.7,-0.34,7.13e+01 g/l,155.1546,92,38.06,14.67,3,4,3,1.85,9.44,0,1,1,1,,-3.32,2.76 (at 0 °C),
109,small molecule,DB00118,Ademetionine,solid,0.05,-2.4,1.62e+00 g/l,398.44,185.46,107.07,39.26,7,10,4,1.7,9.41,1,3,1,1,,,,
110,small molecule,DB00119,Pyruvic acid,liquid,-0.38,0.18,1.34e+02 g/l,88.0621,54.37,17.99,7.31,1,3,1,2.93,-9.6,-1,0,1,1,,-0.5,2.45 (at 25 °C),
111,small molecule,DB00120,Phenylalanine,solid,-1.4,-1.6,4.14e+00 g/l,165.1891,63.32,45.12,17.03,3,3,2,2.47,9.45,0,1,1,1,,-1.38,1.24 (at 25 °C),
112,small molecule,DB00121,Biotin,solid,0.17,-2.3,1.22e+00 g/l,244.311,78.43,60.05,24.92,5,3,3,4.4,-1.9,-1,2,1,1,,0.5,,
113,small molecule,DB00122,Choline,liquid,-3.6,-1.6,3.61e+00 g/l,104.1708,20.23,42.19,12.57,2,1,1,13.97,-3.2,1,0,1,1,,,,
114,small molecule,DB00123,Lysine,solid,-3.8,-0.14,1.05e+02 g/l,146.1876,89.34,37.81,15.84,5,4,3,2.74,10.29,1,0,1,1,,-3.05,3.12 (at 0 °C),
115,small molecule,DB00125,Arginine,solid,-3.5,-1.9,2.28e+00 g/l,174.201,125.22,53.92,17.8,5,6,5,2.41,12.41,1,0,1,1,,-4.20,2.24 (at 0 °C),
116,small molecule,DB00126,Ascorbic acid,solid,-1.6,0.14,2.45e+02 g/l,176.1241,107.22,37.03,14.93,2,5,4,4.36,-3,-1,1,1,1,,-1.85,4.7 (at 10 °C),16 days (3.4 hours in people who have excess levels of vitamin C)
117,small molecule,DB00127,Spermine,solid,-0.66,-2,2.19e+00 g/l,202.3402,76.1,62.56,26.69,11,4,4,,11.1,4,0,1,1,,-0.7,,
118,small molecule,DB00128,Aspartic acid,solid,-3.5,0.03,1.42e+02 g/l,133.1027,100.62,26.53,11.28,3,5,3,1.7,9.61,-1,0,1,1,,-3.89,2.01 (at 0 °C),
119,small molecule,DB00129,Ornithine,solid,-3.6,0.11,1.72e+02 g/l,132.161,89.34,33.21,13.85,4,4,3,2.67,10.29,1,0,1,1,,-4.22,1.94 (at 25 °C),
120,small molecule,DB00130,L-Glutamine,solid,-3.3,-0.17,9.78e+01 g/l,146.1445,106.41,33.11,13.87,4,4,3,2.15,9.31,0,0,1,1,,-3.64,2.17,The half life of elimination is 1 h [FDA Label].
121,small molecule,DB00131,Adenosine phosphate,solid,-4.7,,,347.2212,186.07,74.07,29.96,4,10,5,1.23,3.92,-2,3,1,1,,-3.1,,
122,small molecule,DB00132,alpha-Linolenic acid,liquid,6.62,-6,2.66e-04 g/l,278.4296,37.3,89.64,34.98,13,2,1,4.99,,-1,0,0,0,,6.46,,
123,small molecule,DB00133,Serine,solid,-3.4,0.66,4.80e+02 g/l,105.0926,83.55,22.04,9.39,2,4,3,2.03,8.93,0,0,1,1,,-3.07,2.21 (at 25 °C),
124,small molecule,DB00134,Methionine,solid,-1.8,-0.8,2.39e+01 g/l,149.211,63.32,37.59,15.5,4,3,2,2.53,9.5,0,0,1,1,,-1.87,2.28 (at 25 °C),
125,small molecule,DB00135,Tyrosine,solid,-2.4,-1.4,7.67e+00 g/l,181.1885,83.55,47.1,18.12,3,4,3,2,9.19,0,1,1,1,,-2.26,2.2 (at 25 °C),
126,small molecule,DB00136,Calcitriol,solid,5.51,-4.8,6.67e-03 g/l,416.6365,60.69,126.53,51.02,6,3,3,14.39,-1.3,0,3,1,1,,5,,"After administration of single oral doses, the elimination half life was 5-8 hours [FDA Label]. "
127,small molecule,DB00137,Lutein,liquid,8.29,-5.9,7.32e-04 g/l,568.886,40.46,195.06,73.81,10,2,2,18.22,-0.91,0,2,0,0,,7.9,,
128,small molecule,DB00138,Cystine,solid,-3.2,-1.2,1.68e+01 g/l,240.3,126.64,54.87,22.77,7,6,4,1.56,9.34,0,0,1,1,,-5.08,1,
129,small molecule,DB00139,Succinic acid,solid,-0.53,0.25,2.11e+02 g/l,118.088,74.6,23.54,10.14,3,4,2,3.55,,-2,0,1,1,,-0.59,4.21 (at 25 °C),
130,small molecule,DB00140,Riboflavin,solid,-1,-2.8,6.57e-01 g/l,376.3639,155.05,96.27,37.5,5,9,5,6.97,0.76,-1,3,1,1,,-1.46,10.2,66-84 minutes
131,small molecule,DB00141,N-Acetylglucosamine,solid,-2.1,-0.18,1.48e+02 g/l,221.2078,127.09,48.45,20.49,6,6,5,11.56,-1.2,0,0,1,1,,-2.1,,
132,small molecule,DB00142,Glutamic acid,solid,-3.5,-0.26,8.06e+01 g/l,147.1293,100.62,31.29,13.32,4,5,3,1.88,9.54,-1,0,1,1,,-3.69,2.23 (at 0 °C),
133,small molecule,DB00143,Glutathione,solid,-4.9,,,307.323,158.82,69.11,29.3,9,7,6,1.94,9.22,-1,0,1,0,,-6.4,,
134,small molecule,DB00144,Phosphatidyl serine,solid,4.95,-7.1,6.74e-05 g/l,792.089,171.68,215.24,96.63,44,7,3,1.47,9.38,-1,0,0,0,,-3.5,,
135,small molecule,DB00145,Glycine,solid,-3.3,0.87,5.52e+02 g/l,75.0666,63.32,16,6.65,1,3,2,2.31,9.24,0,0,1,1,,-3.21,2.37 (at 20 °C),
136,small molecule,DB00146,Calcifediol,solid,6.71,-5.3,2.20e-03 g/l,400.6371,40.46,125.06,50.32,6,2,2,18.38,-0.98,0,3,1,0,,6,,288 hours
137,small molecule,DB00147,Pyridoxal,solid,0.02,-1.2,1.17e+01 g/l,167.162,70.42,43.87,16.28,2,4,2,7.97,4.11,0,1,1,1,,0,,
138,small molecule,DB00148,Creatine,solid,-1.6,-1.5,4.11e+00 g/l,131.1332,90.41,42.01,12.17,2,5,3,3.5,12.43,0,0,1,1,,-0.2,,3 hours
139,small molecule,DB00149,Leucine,solid,-1.8,-0.27,6.98e+01 g/l,131.1729,63.32,34.17,14.16,3,3,2,2.79,9.52,0,0,1,1,,-1.52,2.35 (at 13 °C),
140,small molecule,DB00150,Tryptophan,solid,-1.1,-2.2,1.36e+00 g/l,204.2252,79.11,56.2,21.05,3,3,3,2.54,9.4,0,2,1,1,,-1.06,7.38 (at 25 °C),
141,small molecule,DB00151,Cysteine,solid,-2.6,-0.72,2.31e+01 g/l,121.158,63.32,28.22,11.41,2,3,3,2.35,9.05,0,0,1,1,,-2.49,1.71,
142,small molecule,DB00152,Thiamine,solid,-2.1,-4.3,1.53e-02 g/l,265.355,75.91,73.4,28.14,4,4,2,15.5,5.54,1,2,1,1,,,,
143,small molecule,DB00153,Ergocalciferol,solid,7.59,-6,4.33e-04 g/l,396.6484,20.23,128.89,50.73,5,1,1,18.38,-1.3,0,3,1,0,,8.89,6.35,Ergocalciferol can be found circulation for 1-2 days. This quick turnover is presented due to hepatic conversion and uptake by fat and muscle cells where it is transformed to the active form.[T577]
